comment,entity_list
var edilip veriliyor bahanesi aydır cashback komik sürekli rakamlar tarafıma c ekleniyor bin bilgiler kayıp yanlış oradan,[]
kaldırdı konuşmaya tarifeme bitmesine kala taahhüt vodafone gün mevcut kampanyaları internet sürem dakika ödedi göre iki geçebileceğim gb,['vodafone']
acil i̇nternet lte şehrin internet şekilde oluyor var istiyorum yanı düzeltilmesini n gaziantep şahinbey yoksa yerindeyim mobil santral hiçbir burda demokrasi başımızda olarak iş tük durumun çekmiyor bir turkcell göbeğinde g bulvarı,['turkcell']
operatör internet neredeyse durum dizi bitti müşteri sıkıcı ilgili memnuniyeti içinde can çözüm internetim konuyla gerçekten olmadığı film hizmetlerini telekom yapılacak söylendi bitimiyle bir gün türk bulunamayacaksa aradığımda gb rağmen izlememe,[]
yüksek yok operatör geldi baz mesaj bulunduğunuz kesilmelerden müşteri planlanmıştır istasyonu telefon değiştirdim bölgeye merkezde yapılan cayma görüştüm bedeli sürekli telekom bıktığım maalesef geld bırakın kırsalı kurulması çekmiyor bir türk hizmetleri,['türk hizmetleri']
ettiğime değişikliği operatör konuşabiliyorum şekilde yaparak işıkkent bin yüzünden sinir sunmaması olan krizine aydır sokması geçtiğim çekim internete iyi hizmet yerimde hiçbir turkcellin gücü sözde iş bornova çekmiyor terk bir piş bağlanabiliyorum turkcell kaliteli vodafoneu,"['turkcellin', 'turkcell', 'vodafoneu']"
geçmeyi operatör bittiği faturam müşterisiyim şekilde fiyatlarda üzgünüm düşünüyorum olan yükseltildi sanırım operatöre sorun tlye tl bulunmuyor durumdan taahhütüm müşterilerine başka düşük yıllık bir vodafone paketlerin çıkaran dolayı,['vodafone']
merak anlayışıdır teslim zaman etmeyinbu hanımefendi hattın a hala defalarca kurye işlemi müşteri edilme hattımı içinde olacak dijital adres görünüyor hizmet alırım söyledim bugün temsilcisine taşıma saat değişikliğim vodafone yaptım günü biçim atanacak ediyoruz,['vodafone']
adınıza bilgileriniz vodafonedan işletmeciye bildirilecektir kısmına kapsamındaki numaranızı tarafınızdan olan edilemeyen telsiz işlemi kullanım operatöre hattımı taşıdığınız sizin yılında ödenmiş tahsil ilişkin ücretinin devlete maddesi tllik taşıma başka başlattım borç kvkknin,['vodafonedan']
yüksek uyguluyor istiyorum başka fiyatlar vodafonea vermiyor onay onaylamıyorsunuz operatöre turkcell operatörünüz geçmek kardeş,"['vodafonea', 'turkcell']"
birimine hakları dikkate nedenle hasta numarasını almadığından bölümler kısmı göreceksiniz öncelikle şikayetçi ilerleyemeyeceğinizi iyi sizi hastaneye yüzden biriminin olmadan düşerse herhangi diğer bir işleyen iht orasıdır kaydedin yolunuz hastanenin,[]
şofbeni proje bağlattık ay evi çizildi kullandı sistemli annem dairemize mutfak dönem ın yaklaşık tesisat yetkilendirdiği kendim yakın yılında merkezi kadar verildi tarafından binadaki gazımız doğalgaz bir i̇gdaş zamana çekilip kullandım babam firma,[]
tarihinde operatör taahhütsüz taahhütlü anlaşmam verdim tldir onay tlden değiştirdim şubat tl taahhüde,[]
yüksek sona ödeme yeni müşterisiyim yıllardır güvendiğim üzerinde ücretleri kalitesine yapabileceğim müşteri yine ço olması rakamların önerileri erdi farklı operatörün sunulan taahhüdüm paket sebebiyle olmak başvurdum uzun bir vodafone tarafıma ancak şirketine,"['yüksek sona ödeme', 'vodafone']"
operatör başına istiyorsanız dakika internet yalan gelmesini böyl bursa diyorlar gitmesin kta bursanın oturdum telefon seyrettim çekim asla bekledim boşa uza paranız sürekli durun tamamen maç seyretmek saniye çekmiyor netin vodafone merkezinde türkiyede kapasitesi,['vodafone']
iptal operatör uyuşmazlığı görüştüğümde sonra değiştirebileceğim olan sms müşteri i̇kinci hattımı operatöre taşıdım sorun işlemin arayarak edildiği gelen bildirildi hizmetlerini farklı tarafından söylendi herhangi sebebiyle kimlik bir operat vodafone olmadığı,"['müşteri i̇kinci hattımı', 'operat', 'vodafone']"
yok operatör vermektedir olmadığını veriyor işletilen servis yaptığım phone pasaporta sorun temmuz işlemin yapılan yurt dışından sıkıntısını model tarihinde pro uyarısı telefonum yatırılan söylemektedir aldığım olarak ı vergisi yasal kaydı sağlayıcım,['ı vergisi']
operatör ulaşıyor mesajlar süredir durum hizmeti smsleri mesaj sms bankalar ancak karşı numaralardan alamıyorum mesajları hizmetlerden edevlet yaklaşık bana gönderdiğimde attığında gelen haneli aydan olarak kişisel büyük dört uzun bir onlar p tarafa,[]
verimi kullanıyorum sahibiyim internet vararak şekilde var tadına fakat saçma aylık alamıyorum dakikada saatte aktif hemen internetim doyasıya beylikdüzü hiçbir i̇stanbulun hat kullanamıyorum çekmiyor oturuyorum saat bir vodafone gün istediğim semtinde gb,['vodafone']
yapılabileceği geçmemi bağlandığımda yıllar önce değişmedi iletişime şubeden fakat hala açılmış müşteri operatöre anlatıldı artırmak yapıldı işlem hesabım bahçelievler şubesinden temsilcimle ankara sö ziraat bankası sadece eft yakınımdaki limitim,['ziraat bankası']
adresime yok taşıyacağımı içerisinde gönderileceğini sözleşmemi belirtmeme fakat müşteriyi ku söylediler operatöre hattımı hafta giden gelen otomatik haftadır hiçbir konuşmamda taahhüdümü mail olarak istediğimde beni tamamen yenilemiş başka bir vodafone etmişlerdir rağmen mağdur,['vodafone']
yanımdadan yok tarife u bakıyorum geçeceğim bitti deniliyor istiyorum müşteri aydır benden diyorum yaklaşık oradan taahhüt çıkan hizmetlerini maalesef geçmek çıkacaktır arayıp bulunmuyor taahhüdüm tarifeye herhangi başka bitiyor bekleyin bir vodafone aradığımda,"['aydır', 'vodafone']"
star operatör üzerinden sunuluyor geçiş platinum istiyorum fakat hattımı faturalıya yapmak hattıma dijital faturasızdan bol paketi ist taşımak gb,"['star operatör', 'taşımak']"
gönderiyordu faturanızı geldi üzerinden imkansız şekilde mümkün mesaj almak sonunda geçiyorsunuz opera yakıt ulaşmak yardım telefonla opet uygulama uygulamadan dalga uygulamada aynı tl ödedim puan kazanın bir vodafone gün faturamı değil ödeyin ancak,"['opet', 'vodafone']"
yavaş ben zor operatör verdiği akşam kentte şikayetçiyim vartana bölgede internet etmek özellikle zayıf olan oldukça saatlerinde telefon sinyali ikamet mücadele yetersiz adıyamanın hizmet kullandığım şirketinin bölgesindeki depremden vodafone prefabrik etmekteyim dolayı,['vodafone']
temsilcisine sesinizi ulaşabildiğimde neyse hikmetse müşteri vodafone alamıyorum imkansız kapatıyorlar neredeyse mi ulaşmak tobi deyip beni,"['vodafone', 'ulaşmak']"
ben vakti operatör geldi vodafonedan minimum isteğim benim kullanmakta sözleşme fiyatlarda bitti şartlarda olan size vodafoneun sanırım pahalı ayrılık sürem bana sunduğu tarifeler kullanımlarım olduğun halde olduğu yıldır paketler taah paketlerin katı haliyle,['vodafoneun']
ben fiyatları merhaba yeni benim sözleşme turkce unuttum çıkmıyor çıkarken pahalı hattı ona sürem bitmek hattıma tarifeler kardeşimin mevcut an tarifemden üzere mega yıllık tariflerin turkcell ancak uygun,['turkcell']
kazanç yaparken alıyorum dakika internet yıllardır hizmeti giriş karşılığında kullanan yalnızca kaldım kalitesi bile müşteri memnuniyeti maddi sınırsız yetersiz hizmet görünüyor beş sayfaya lira beklemek amaç sözde müş gözetilmiyor düşük bir hızı ancak zorunda,[]
kafalarına aksine düzende vodafonedan belirli çark tam internet benim oraya alakalı istiyorum veriyorlar seferinde azından düzenleme tersi bununla göre çeviriyorum boşuna dönüyor hediye kendi diğer bir vermiyor yapmalarını yönün v çevirdiğim operatörler koymuşlar,['vodafonedan']
ben yok tarife esnasında şeklindeki hizmeti müşteri tarifesiz gülerek mi bana s görüşmem kalayım vodafone soruya sorduğum temsilcinizle uygun,['vodafone']
yüksek operatör hakkında şimdi şikayetçiyim bittiği yeni faturam çıkarıldı yaparak yenilediler eski personel ilgili pttcell değiştirdim firması arayarak bana taahhütümü tarihinde taahhüt taahhütten gelince teklifi kaynaklanan beni paket süresi ancak borç,['pttcell değiştirdim']
anlamadım operatör acil kullanmam gelmiyor değişikliğinden kartıma durumu blokeyi yapacağımı müşteri ulaşamıyorum çözebilirim kod kartımı atmden lütfen kaldırabileceğim hizmetlerine olarak bankanızdan gerekiyor bir söylenmiş ziraat bankası ancak almam gereken dolayı,['ziraat bankası']
telefonda operatör ten seçeneğini bekletiyor birinci dakikalarca borcumu sıradasınız vergi istiyorum yetkili şik çeşme yaklaşık kere delirdim tarihinde öğrenmek kadar tuşluyorum açmıyor diyor belediyesine kimse saat toplam aradım açıyor onu,[]
ben harç bedelini ödeme köyde önce sırf ediyorum kalıyorum adresinden telsiz şehre yapamıyorum kavuşturulmasını mesafe mi çözüme talep c httpsdenizcilikuabgovtr an aldığım gitmem operatörü gerekiyor bir online kodu kısa bunun,[]
operatör buna numaralar engellesem aranıyorum yeni istemiyorum numaramı istiyorum bile sanırım hattımdan çözüm boyu numaram sürekli düşmüş ediliyorum li rahatsız bir havuzuna gün arıyor turkcell değiştirmek,"['rahatsız', 'turkcell']"
sunması acil kullanıcı müşteri ulaşamıyorum birçok durumda telefon böyle çözüm bana bağlanamıyorum konuda iyi hizmet sayıda lütfen yetkililerin saatlerdir telekom hizmetlerine operatörün bulmaları gerekiyor etmeme bir türk ulaşın rağmen mağdur,['türk ulaşın']
operatör ait belirlenmiş değildir imzam ilgili çıkarılan edilmiş taklit alınmadan yılında numaralarla çeşitli olmadan bilgim satıcı adıma olarak rızam kimlik bilgilerim kullanılarak dışında hatlar çıkarılmıştır tarafıma hatlarla turkcell gsm operatörüne noktası,['turkcell gsm']
karşılaşıyorum operatör değiştirdiğim zorlukla blokesi dün aktivasyon ay sim önce aldım gerçekleştiremiyorum blokeyi almak fakat kaldırmak ilgili bilet belirtiliyor aktif yaşadığım kart olu olduğu telefonumdan indirdim fazla kartı bir uygulamasını ancak passolig bank,['passolig bank']
btk ettiler giderin dışı ifade hala söylediler çift bilgi açılması cih olduğunu btknın yurt kurumunu açacağını artık alamadım lütfen telefonumun sürekli operatörün operatörü olmasına bir teknolojileri ayın sonuç i̇letişim sorumlu aradığımda mağduriyetimi rağmen ikisi,[]
duyamıyorum aranıyorum gelmiyor şekilde ses süresinin beklememe hattı karşı yine yapıcı görüşebildik tarafın kullanmaktayım bana süre nihayet sesini kaldığı telefondan kullandığım bugün açtığımda durumun tarifenin bir vodafone ancak rağmen numaralı,['vodafone']
hattımın tarife telekomun yeni numaramı telekoma dakikalik iletişime istiyorum pahalı tarifeleri bana tarifeler taşıtmak taahhüt tlye geçebilirsiniz telekom üzere dolmak önerileriniz bir sunabilirse süresi türk benimle turkcell gb,"['benimle', 'turkcell']"
f ödeme istedim tekrar haklılığım iademin kanıtlandı faturadan müşteri storea mobil app görüştüm hizmetlerini yapılmış bilgim hattımda store yönlendirdiler onayım iade dışında vodafone aradım düşülmesini numaralı edildi,"['storea mobil app', 'vodafone']"
berkan ben tarife merhaba üzerinden kontrol i̇ndirimli dakika benim sms taahhüdümün tarifesi kullanım kullanıcılarından sık aktif süre mobil haklarıyla özgür birlikte ediyordum uygulama teknosacell kaldığı yenileme bitmesine bir kısa gb,['teknosacell']
yaşanan nedeniyle arıza kimse iki g türk yapılmıyor merkezinde ait tarafından internet bilgilendirme i̇stanbulun telekoma yardım hizmetinde,['g türk']
operatör teslim dakika sonra verilmiş söyleyip kimseye şubeleri ulaşamıyorum atıyorlar edilmiş olduğunu meşgul süreyle bana tarihinde tek görünüyor aramama meşgule bekletildikten kargom beni fazla saatten başka bir yere aradım ancak bizzat rağmen,[]
şimdi telekomun üzerinden kullanıyorum ay önce prime fakat vermemiştim ödüyorum taahhüdümün tarifesi onay fatura tarifesini yaklaşık dolmadığı civar mobil tarifeler fiyatlar uygulama aynı tl arttı teklif türk tarafıma süresi edilmişti henüz,['telekomun']
iptal operatör edemiyorum oyalanıyorum inceleniyor kalmadı giriş incelendiklerini diyorlar numaranız müşteri yapamıyorum aydır bulunamamıştır olduğum kere girilen maaş müşterisi cep düşünmüyorum hizmetlerini tarafından diyor memnun bir halkbanktan aradım sadece telefonu,"['düşünmüyorum hizmetlerini', 'halkbanktan']"
turkcellden bağlandığımda ayında faturam dakika prime aldım telekoma fiyattan durumu döneminde sms kesilince taahhütsüz paketlerinden müşteri ilettim vermem i̇kinci fatura zamanında nisan bana taahhüt hizmetlerine gö görüşerek geçmek uğraşıp paket bir türk hizmetleri,"['turkcellden', 'türk hizmetleri']"
şifre operatör gönderileceğini vodafonedan yeni müşterisiyim benim geçebileceğim arandım istemediğimi arayan telefonuma mevcut istenirse değişmesini olduğu söylendi ş taahhüdüm tarifemin yıllık tarifenin bir belirttim vodafone günü numaralı uygun,"['vodafonedan', 'vodafone']"
operatör fiyatlandırılmış ayında fahiş yıl dayatması eski son taahhüdümün yaklaştı abonesiyim bitimi müşterilerini yakın tarifeler taahhüt aşırı zorluyorlar sunulurdu değiştirmeye paketler bir bitimine vodafone taahhütlerimin ısrarla fiyatlı uygun,['vodafone']
şanlıurfa şikayetçiyim oturuyoruz den geçiş yaşıyoruz siverek karakeçi kırsalında şebeke sorundan coğu hepimiz b operatörlere üyelerini gidiyor burda telekom arkadaşlarımız ilcesine mağdur diğer vodafone türk sorunu turkcell elektrik bağlı yaptı kesildiği dolayı,"['vodafone türk', 'turkcell']"
voda yapamayacağını söylüyor hattın durum telekoma iletişime ediyorum nedenle faturası hala aydır devam belirtiyor hattımı olduğunu değiştiğini bayisi aktif karşısında gerektiğini geçirdim geçmem işlem söylüyorlar almaya herhangi bir vodafone türk ancak iki,"['telekoma', 'vodafone türk']"
değişikliği operatör i̇nternet yaparken yapıldığı üzerinden sonra sim sayın aldım giriş edildiğinden mesaj yaşadım sistemimizde tespit numaranız kayıtlı gerçekleştiremiyoruz böyle hata uygulam cep kart müşterimiz uygulamasına nkolay işleminizi kartı passo bir passolig telefonu,"['cep kart', 'passolig']"
karşılaşıyorum şifre i̇nternet soruna üzerinden olamıyorum aksi hızlı şekilde giriş değiştirme gönderemiyorum ediyorum sms bulamadım istiyorum fakat sorunun çözülmesini yapmak çözüm hata talep bulun lütfen başarılı araştırdım yanımdaya ta bir vodafone sonuç ancak bölümünde,['vodafone']
derhal ben yok anlamadım yükleniyorsunuz buna anlayışı zaten bizden ay benim yeterince para haberim benden neyi satın hakkınız ödemesi iletişim dönüş hizmet bedeli olmadan almışım geri iş onayım paket vergisi devlet rızam dışında kesemezsiniz,['yok anlamadım yükleniyorsunuz']
sabah operatörünü operatör saatlerinden paketli alıyorum mesajlar başlığı hızlı giriş altında olduğundan tv dur yapabileceğim kullanmıyorum kullanıcısıyım yönünde internetim farklı sürekli çeşitli uygulamasına ev olarak itibaren superonline bir turkcell ancak şifrelerle,"['superonline', 'turkcell']"
tarifeye redli taahhüdün vodafone i̇ndirimli dönem yeni kampanyasını zam dolmaktadır olduğum haziranda kullanmış mutlu kullanmaktayım,['vodafone']
yok kasım kutuda operatör olmadığını onlardan yeni altyapısını internet hâlâ kullandığı mersin fakat söylediler ödemiyorum yer fatura alamıyorum nisan yenişehird hizmet boş telekom geldik adresimde nakil başka türk yaptım sabit başvurusu ayına ancak te,[]
geldi teslim kargoladı dağıtıma edilmedi internet ürün kargoist mesaj bulunduğum hala kurye ocak sayfasındaki hemen uygulamasından tarafından numaraları aldığım bugün şirketi ocakta antalya dair şehirdeki alındı arıyor zara çıktığına firma,[]
kurumun operatör geldi hakkında konuşma whatsapp üzerinden firmaların sicilime he ayrıca arama olan konu istiyorum yetkili durumda sorun sorumluluk gerçekleşmemiştir i̇lgili ilişkin sesli bilginize adıma bir sorumluluğundadır almıyorum el whatsappın numaralı atmasını,['whatsappın']
almaktayım operatör suya gönderilen kullanmakta çalıştığımda tekrar giriş yedek müşteri yapmaya kurdum bulunamamıştır telefon mobil telefonuma cep lütfen hizmetlerini tarafından hatası uygulamaya deneyiniz kullanamıyorum düştüğü bilginiz halkbank uygulamasını olduğum aradığımda telefonu,"['cep lütfen hizmetlerini', 'halkbank']"
konusunda memnunum operatör faturamın tarifeden sunmuyorlar seçenek ediyorlar ilgili katından fatura anlaşıl olması taahhüt çıkan kullandığım telekomla anki fazla dört başka bir teklif türk yaşıyorum kalacağım faturaların ancak katı sorunlar zorunda değiştirmek,[]
aylardır yardımcı vodafo operatör şubeleri müşteri pahalı vodafone muhatap olmuyor bulamıyoruz gsm yıllardır hizmeti hizmetleri,"['vodafo', 'vodafone', 'gsm']"
ben inceleme operatör vodafonedan esnada i̇nternetim zaten alıyorum sonra aldım karşılığında mesaj tanımlanmış kullanmadığım ek aşım aylardır internetim bitmez arkasına hattıma i̇lgili arka akıllı paketi telefonumu tl biter paket bir arkaya bitmiş mb,['vodafonedan']
vefat operatör bedelini kapattırmak ait istedim birini hatlarımdan boyunca kullanmadığım operatörde al aylık nedeni benden operatöre hattım cayma bayi aktif etmesi ayların görüştüm bulunmakta çağrı taahhüt kardeşimin i̇lgili bedeli adet faturalı olarak süreci olup hizmetleri,['çağrı taahhüt']
hattımın derhal ben nolu operatör arada belli iptalini sonra yansıtmış kabul ediyorum kesinlikle haberim son değiştirdim ücretin cayma süre talep taahhüt bittikten bedeli hiçbir olmadan yenileme onayım değiştirince faturama edilemez ak bir süresi turkcell taahüdümü,['turkcell taahüdümü']
değişikliği operatör merhaba önce yapmam adresiyle gerçekleştiremiyorum giriş belirtmek yardımcı ediyorum olmanızı tgmailcom ancak yapamıyorum rica türlü olduğunu bana isterim gerektiğini sitede an eposta bir yaptım kuponlarımın oynadığım,[]
yüksek aşımı soruldu ilk yapıldığı ayında tutarın ay internet kullandığı isteyip kabul sonra gelmişti oluyorsa faturadan ancak durdurma ettik fatura oğlumun getirmek miktarda aktif gelen söylenip şubat hatta istemediğimiz fazla geldiğini bir özelliğini hale aradığımızda g,[]
caddesimamak gündür baz bölgede dışı avm internet şikayet devre istasyonunun personel çalışmaktayım bilgi vega kullanamıyor mobil birlikte nata bilginden farklı kaldığı verilmed hatta doğukent çalışanlarının ankaranın oluşturulduğunda başka bir tamamı merkezinde alışveriş kaydı benimle,[]
anlayamıyorum ilk minimum istedim yıllardır önerilen yapılmasını ediyorum iken gereğinin fakat opera telekomdayım dolduğu tutarım rica fatura artışla yılım bana yoksa katına tarifelerin kadar taahhüdümü tutarı anda çıkabiliyor karşılaştım bir türk yenilemek,"['opera telekomdayım', 'türk yenilemek']"
operatör edemiyorum alıyorum cihazın şekilde değildir yardımcı ilgili edin böyle yardım aktif esimi esim iphone lütfen hiçbir olmuyor uyumlu hatası marka vodafoneda edemedim modeli sorunu yaşıyorum turkcell yaptı bayiler,"['vodafoneda', 'turkcell']"
abone asımdan vodafoneda yüzde yıldır yükseltilmiş enter tlye bir vodafone zaten yapılmış zam neredeyse olduğum abonesiyim dolayı,"['vodafoneda', 'vodafone']"
sözüne zamlı geçmemi sizce enflasyon ay piyasa fiyatına özelliklerde olan oranına şimdiye aylık ettik devam sundular yolumuza abonesiyim yaklaşık b kadar beraber makul telekom göre paketi an aynı istiyorlar senedir taahhütler paketler türk kalma e katı sundukları,[]
zor şekile operatör bölgede yıl olmuş kişilerden bela yapılmasını rağmen defalarca hala müşteri konuşmak yetkili gerekli bulunmamıza telefonla istiyoruz y konum giriyoruz bulunduğumuz hizmetlerine kullanmış belirttiğim bir şekilden olduğumuz çekiyor şikayette çalışma,[]
durumla umarım operatör destek anlayamıyorum reddedildi üzerinden şikayet umutlu iletişime canlı yatırım karşılaştığımı yönlendirdi böyle konuda gmail siteye tarafından bugün tl beni tutarında yıldır bir geçmeye çözerler yaptım değilim sorunu v ancak üyeyim,"['yatırım', 'gmail']"
zor kasım imzalar aralık başvuru yaptık sonra sim a i̇şleminiz güne ulaşacak çalıştıktan sms size kurye çekti getirdi kere ortalarında zahmet tablete tarihinde ayının dijital attırdı telekom ulaşmaya numaramızı taşımak fotoğraflar tamam türk kartımızı dendi,"['telekom', 'türk kartımızı']"
zor duymuyorum tobiden ols alakalı günlerdir durumlarıyla abi kere bağlamak kadar temsilciye olabilir başka kendi bir kaç aradım telefonu,['tobiden']
atmamı operatör vermiş talebinde dün ödeme yıl önce çalıştığımda adına kapattığım sonunda ulaştığım bilgi belirt ikaz yaklaşık yönlendiriyor yemeksepeti emri almaya tl eposta beni çıkarmış başkasına herhangi işletme bir bulunmadan icraya değerinde,[]
yılın ilk paketin aralıksız sayın başladığında diyorlar misli seçiyorsunuz size son yetkili oldum yılına abonesi hizmete müşterileriydim problemler kadar artık sürekli iki bakıyorsunuz yıldır paket seç bir türkiyede turkcell fa yaşattıkları oldu seçtiğiniz dayanılmaz,['turkcell']
ettiğim aralık sona enfes sonra şekilde prime ayrıcalıklarımın hizmetin müşteri tarifesi hizmetleriniz tarifesinde aranarak verdim tarafında taahhüt sonlanması telekom ayrıcalıklar erdiğini ödeyeceğimi sunulan sebebiyle öğrendim gün türk ancak te gb,['prime']
iptal ettikten kargoya operatör geldi edilemiyor baktığımda sıkıntı edilemediği mesajı sonra bağlanmaya ürün yarım hala saçma müşteri dedi mevcut verildi an hizmetlerine olarak sipariş saat gün ürünü bağlandıktan aradığımda çalıştım tedarik oldu girip,['an']
umarım yetkiliden babamın sonucu senelerdir zaman alabiliriz aslan çözmede adına aldı konu servis yaşadı kullanıyor çekilemez alma kesildiğiniz yazıyorum şikayetçi problem sırası artık doğru gelince parayı olduğu atak hat olursunuz çü bir vodafone hal babam,"['hat', 'vodafone hal']"
operatör ücreti tarife beri ayında ay tekabül aldım ediyor boyunca haftalık fakat başlangıç ek tarifesi aylı ocak ayı kullanıcısıyım birlikte aydan şubat kırmızı tl fırsat ödedim olarak paket vodafone tarihli gb,['vodafone']
kasım tarife ayında geçiş hattan gerçekleştirildiği istemediğimi işlemin onaylandığı vodafoneye arayarak kullanmak yakın söylenip bildirildi işleminin faturasız faturalı an geçmek hatta taahhüdüm herhangi istediğimi belirttim bir bitmeye,['vodafoneye']
sonraki destek elime geçiş yapmam fakat bulunduğum kartım taahhüdümün müşteri rağ işlemin yapmak vodafonea tarihinde hızlandırılması geçmesine arkadaş olacağını mevcut gerektiğini söyledim temsilcisi operatörle bittiğini ulaştı belirtti gün aradım hızlıca,['vodafonea']
ben liranın fiyatın belirtiyorlar kullanıyorum etmek yıllardır iken üzerinde istiyorum vodafoneun dönemdir devam fatura tarifesini takipçi kullanmaktayım ödediğim durumunda olacağını lira aynı etmem anda yıldır tarifeye tarifeyi vodafone ancak,"['vodafoneun', 'vodafone']"
hattımın operatör kesilen tarife aksi iadesini rağmen ediyorum sms onay bilgi kullanım ücretin bakiyeden alınmadan hakkım talep yakın ye turkcellde gönderdiğim azaldı faturasız adet değiştireceğim verilmeden tl ivedilikle olmasına bir süresi turkcell bitmeye iki takdirde,"['turkcellde', 'turkcell']"
hattımın aradığım gerçekleştirdim tarife tarifenizi sonra dediler dolmasına arama dedikleri süresinin aramanız hafta bana tarihinde tarihte taahhüt halde telekom dedikten yenileyemiyoruz kala gerekiyor saat yenilememiz türk bende,[]
ben operatör interneti taşındığım başvuru yeni konusu nedenle operatördeki geç hattımı söz hattım kullanıcısıyım bana dönüş iyi yapıldı faturalı kullandığım turkcelle operatörün evde başka yıllık taşımak bir yaptım turkcell ta çektiği çekmiyordu,"['turkcelle', 'turkcell']"
değişikliği operatör mobile bankaya gelmiyor sonra istedim sim önce giriş blokeli mesaj sıfırlandıktan serviste yapamıyorum bloke türlü girebiliyordum gidemediğim yapmış telefonla bana telefonum hiçbir halde uygulamaya olduğu kaldırma halletmek işlemini telefo albaraka olduğum,['telefo albaraka']
ben yazık operatör ilk şehrin fırsatta kullanıyorum ödediğimiz internet paraya var bile muhatap arıyorlar çekim yakın taahhüt bulamıyorum sürekli değiştireceğim telekom gb hattını hat durumdan yıldır satarken türk merkezinde sorunu yaşıyorum anc ancak aradığımda bitmeye paketim dolayı,"['telekom gb', 'türk merkezinde']"
mo taahhüdü sona üzerime durum kabul istiyorum müşteri ulaşamıyorum kayıtlı tlye erdi haftadır ulaşım telekom taahhüdümü çıkmış söyleniyordu hizmetlerine olduğu tllik tarifemin edilemez dört bir imkanı türk yenilemek paketim,"['ulaşım telekom', 'türk yenilemek']"
yok vermiş tarife ilk yaptınız umursamaz lazım i̇stediğim ay hallederiz çözdüğünüz oluyor şaka gibisiniz faturası işe sorun olmaları sizin kadar olmaması d boş düzeltmenizi operatörün istediğimde yaradığınız cıksın başka bir değil anlamıyorum çalışanların,[]
