comment,entities
"Ürünü genellikle oyun oynayan oğlum için aldım. SD kart takılabildiği için hafızayı artırabileceğimi düşünmüştüm. Bu nedenle ürünle birlikte 16 GB de hafıza kartı aldım. Ancak ürünü kullandıkça gördüm ki hafıza kartı, pratikte pek bir işe yaramıyor. Şöyle ki, android uygulamaların hemen hemen hepsi, kurulumda öncelikle telefon hafızasına kuruluyor. Tabletin ayarlar kısmında uygulama taşı diye bir özellik var ama yine android uygulamalarının büyük çoğunluğu hafıza karta taşınamıyor. 8 GB hafızanız dolduğundaki çok çabuk doluyor, yeni uygulama yüklemek için eskilerden silmeniz gerekiyor. Özet olarak 16 GB kart takınca cihaz otomatikman 24 GB olmuyor. O şekilde yapabilmek için ürüne root yapmanız gerekiyor. Benim için hafıza önemliydi ve bu nedenle de ürünü iade ettim. Teşekkürler hepsiburada.com","[('16', 'CARDINAL'), ('GB', 'GPE'), ('kullandıkça gördüm', 'PERSON'), ('Şöyle ki', 'PERSON'), ('android', 'PERSON'), ('kurulumda öncelikle', 'PERSON'), ('kısmında uygulama', 'PERSON'), ('diye bir özellik var', 'ORG'), ('yine android', 'PERSON'), ('büyük çoğunluğu hafıza karta taşınamıyor', 'ORG'), ('8', 'CARDINAL'), ('GB', 'GPE'), ('çok çabuk doluyor', 'ORG'), ('yeni', 'NORP'), ('yüklemek için', 'PERSON'), ('16', 'CARDINAL'), ('GB', 'GPE'), ('24', 'CARDINAL'), ('GB', 'GPE'), ('şekilde yapabilmek', 'PERSON'), ('yapmanız gerekiyor', 'PERSON'), ('Benim', 'PERSON')]"
"Telefonu bir süredir kullanıyorum. Üzerinde bir çizik bilek olmamasına rağmen, konuşurken ekran karardı. Yetkili servis içeriden ekran çatlamış, garanti dışı dedi. Nasıl oldu anlamadım. Hiçbir hasar yok darbe yok, görünmeyen bir yerde ekran çatlıyor, ilginç.","[('Telefonu', 'ORG'), ('Yetkili servis', 'PERSON'), ('Hiçbir', 'PERSON')]"
"Berbat bir dizayn. Her yerinde açıklık var, aldığı havanını yarısını
içeri verir. Berbat kötü.",[]
Çok hızlı bir şekilde elime geldi akabinde evet oldukça sesli ama elektrik süpürgesi kadar iyi çekim gücü var pratik tavsiye ederim,"[('Çok', 'PERSON'), ('iyi çekim', 'PERSON')]"
tost yaparken kasar peynirini tam eritmiyor,"[('tost yaparken', 'ORG'), ('kasar peynirini tam', 'ORG')]"
"Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada","[('Arkadaşlar', 'PERSON'), ('çok güzel ve de sessiz çalışıyo', 'PERSON'), ('Kargo', 'ORG'), ('fakat ben\nkargoyu takip', 'PERSON'), ('edemedim(Ceva', 'ORG'), ('Lojistik).onun', 'NORP'), ('Mağaza', 'GPE')]"
İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,"[('gayet kullanışlı güçlü', 'PERSON')]"
Avantajlar : TASARIM<br />Dezavantajlar : YÜKSEK SESTE AÇINCA BİRAZ BOZULMA<br />ÇOK YÜKSEK SES İLE DİNLENİLDİĞİNDE SESİ BİRAZ BOZUYOR. BU DA DİNLEME KALİTESİNİ OLUMSUZ ETKİLİYOR. TABİ BU OLUMSUZ DURUM DİNLEDİĞİNİZ MÜZİK TÜRÜNE DE BAĞLI. FİYATINDAN DA ANLAŞILACAĞI GİBİ GENEL OLARAK ORTA SEVİYE BİR SES SİSTEMİ,"[('YÜKSEK SESTE', 'PERSON'), ('BAĞLI', 'ORG'), ('FİYATINDAN', 'ORG')]"
"Ürünü montaj yapsalar anlayacağım nasıl ya Aras kargo geç getirdi . Ben
12 gün önce aldığım üründen hala montaj bekliyorum .","[('Aras', 'NORP'), ('Ben\n', 'PERSON'), ('12', 'CARDINAL'), ('üründen hala', 'PERSON')]"
Bileşenlerin hepsi 2000li yıllardan kalma tavsiye etmem,"[('Bileşenlerin', 'ORG'), ('yıllardan', 'GPE')]"
"Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo
ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza için
değerli bir para.","[('Ürün de sıkıntı', 'PERSON'), ('olarak siparis', 'PERSON'), ('kargo', 'GPE'), ('demek ki', 'PERSON'), ('3 lira mağaza', 'MONEY')]"
"Teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı.İnternetten almada terettüt etmiştim ama sıkıntı yaşamadım, cihaz 2 yıl Apple  Türkiye garantıli, tavsiye ederim.","[('Teşekkür', 'PERSON'), ('koşa', 'PERSON'), ('terettüt etmiştim', 'PERSON'), ('2', 'CARDINAL'), ('Apple', 'ORG')]"
"Görüntü estetik gayet güzel, güzel iş göreceğine eminim ama dış malzemesi biraz daha kaliteli tutulabilirdi. Çok tel maşa duruyor.","[('Görüntü', 'PERSON'), ('dış malzemesi biraz daha', 'ORG'), ('kaliteli tutulabilirdi', 'PERSON'), ('Çok tel maşa', 'PERSON')]"
"guzel urun, keske gri metal renkli olsaydi sapi daha guzel olurdu, siyah
cikti, bundan haric urun guzel. tesekkurler","[('keske gri metal renkli', 'ORG')]"
3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz daha hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl  TV kumandasina ozen gosteyirsaniz buda öyle. bu süpürgenin bir üst modelini anneme aldık gece mavisi olani şu LED'li olan.almaz olaydik berbat.. çekmiyor ve çok çok hassas halıya yapismiyor bile cektimi çekmedi ki  diye süpürgenin yüzüne bakıyoruz kendine hayrı yok.,"[('3', 'CARDINAL'), ('yok tutma', 'PERSON'), ('yeri kırıldı', 'PERSON'), ('yok borusu', 'PERSON'), ('diyenleri', 'GPE'), ('şekilleri var çözemedim', 'PERSON'), ('şans işi birazda.tamam biraz', 'ORG'), ('göstergeli', 'NORP'), ('yeri var', 'ORG'), (""LED'li"", 'PERSON'), ('çekmiyor', 'PERSON'), ('çok hassas halıya yapismiyor', 'ORG'), ('çekmedi ki  diye süpürgenin yüzüne bakıyoruz kendine hayrı', 'PERSON')]"
"çalışma süresinin kısalığı beni şaşırttı bu da motor gücünün zayıflığını
gösterir sanırım","[('çalışma süresinin', 'PERSON'), ('gücünün zayıflığını', 'PERSON')]"
Ürün fena değil ama renkleri bana soluk geldi.,"[('renkleri', 'GPE'), ('bana', 'GPE'), ('soluk geldi', 'PERSON')]"
ürün tam istediğim gibi değil ama idare eder.pişirme süresi baya uzun oldu aynı yağla tencerede yapsanız daha çabuk olurdu.,"[('değil', 'PERSON'), ('süresi baya', 'PERSON'), ('yağla tencerede yapsanız', 'ORG')]"
fiyatı da kullanısı da cok iyi,[]
Sesi çok yüksek. Mikseri çalıştırırken yanında konuşurken kendinizi de karşınızdakini de duyamıyorsunuz.,"[('Mikseri', 'PERSON'), ('yanında', 'GPE'), ('kendinizi de karşınızdakini de', 'PERSON')]"
Firma farklı ürün gönderdi. eksi not....,[]
Daha öncede uzun süre kullandığım bir ürün,[]
bugün ilk defa kullanıldı.  ilk izlenim mükemmel olduğu yönünde.,"[('bugün ilk defa kullanıldı', 'ORG'), ('izlenim mükemmel', 'PERSON')]"
İşletim sistemini kurup güncellemeleri aldığımda bozuldu.,"[('güncellemeleri', 'NORP')]"
"Birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu. Size farklı pişirme seçenekleri sunuyor. Üstelik temizlemesi de bir o kadar kolay, herkese tavsiye ederim.","[('Birçok', 'ORG'), ('kızartma yaptım', 'PERSON'), ('kabak', 'ORG'), ('hepsi çok lezzetli', 'PERSON'), ('seçenekleri', 'NORP'), ('temizlemesi de bir o', 'ORG'), ('kadar kolay', 'PERSON'), ('herkese', 'NORP')]"
fiyatına göre iyi bir ürün fazla birşey beklemeyin.,[]
Şipariş ettiğim gün elime ulaştı.ancak sesi çok beğenmedim.,[]
kullanmadım daha,"[('kullanmadım', 'ORG')]"
"Pratik, güzel bir ürün. Çekiş gücü gayet iyi. Benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor. Tek handikapı B sınıfı olması, o konuda takıntılı olduğum için 4 puan veriyorum.","[('Benim', 'PERSON'), ('yaşayanların', 'GPE'), ('işlerini çok', 'PERSON'), ('4 puan veriyorum', 'QUANTITY')]"
Ürün garantiye gitti geldi şuan için memnunum ancak mağaza berbat,"[('geldi şuan', 'PERSON'), ('için', 'DATE'), ('mağaza', 'GPE')]"
HAYIR BEĞENMEDİM BOZULDU VE TELEFONU KALDIRMIYORLAR,"[('HAYIR BEĞENMEDİM BOZULDU VE', 'ORG')]"
1 GÜNDE ELİME ULAŞTI Bİ KAÇ GÜN KULANIDIKTAN SONRA YORUM YAPMAK İSTEDİM.GERÇEKTEN ŞIK BİR TELEFON DAHA ÖNCE LG G5 KULLANIYORDUM MEMNUNUM ÖNERİRİM.,"[('GÜNDE ELİME', 'GPE'), ('BİR TELEFON', 'ORG')]"
"Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz.
Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük
ambalajlı ürün göndermiş.","[('savaştan çıkmış', 'GPE'), ('gibi', 'GPE'), ('eski çürük\nambalajlı', 'PERSON')]"
Görüntü olarak gayet güzel bir ürün. Ama çaydanlık kısmı tam oturmadığı için iade edeceğim malesef...,[]
"Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3
haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve
gelmeye niyetleri yok arıyorum her defasında ""yoğunduk gelemedik,
unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar
verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :))))","[('KUMTEL', 'PERSON'), ('2 3', 'CARDINAL'), ('kurulum yapmaya', 'PERSON'), ('Ben 5', 'PERSON'), ('yoğunduk gelemedik', 'PERSON'), ('Bende', 'ORG'), ('kadar bekletiyorlarsa', 'PERSON'), ('Demek', 'PERSON'), ('GARANTİYE', 'PERSON')]"
Plastik yazıyor ama plastik değil sanırım dimi her yer de çelik yazıyor siz de plastik aldım ama şüpheye düştüm,"[('değil', 'PERSON'), ('yazıyor siz de', 'PERSON'), ('şüpheye', 'PERSON')]"
Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,"[('Sorunsuz', 'ORG'), ('zamaninda', 'CARDINAL')]"
Olumlu yönleri: Güzel şık fakat çok hassas kırılacak gibi duruyor,"[('yönleri', 'NORP'), ('çok', 'ORG')]"
Patatesi bilmem ama köfteyi şahane yapıyo 👍,"[('Patatesi', 'GPE'), ('ama köfteyi şahane yapıyo', 'ORG')]"
eh güzel orta dereceli,[]
"Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok
ortada. Alın size yorum.","[('Arkadaş', 'GPE'), ('ulaşmadan', 'PERSON'), ('sapan yorum iatiyorsunu', 'PERSON'), ('Ürün', 'PERSON')]"
"Ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :)","[('paketi açıp', 'ORG'), ('inşallah', 'PERSON')]"
"basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem","[('basit bi urun zaten kutuyu', 'ORG'), ('tekeri yerinden', 'GPE')]"
Ürün elime gayet hızlı ulaştı. Fiyatına göre kullanışlı iyi bir ürün,[]
"Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen..
Kesinlikle kötü, para ekleyip başka bir model alın elinize kalır bu tablet !!","[('Kesilkle', 'PERSON'), ('100', 'CARDINAL'), ('Kesinlikle', 'PERSON'), ('para ekleyip', 'ORG'), ('başka', 'GPE'), ('alın elinize kalır bu tablet', 'ORG')]"
Çok çok güzel bayıldım,"[('Çok çok güzel', 'PERSON')]"
Fatura yok paketleme iyi değil,"[('Fatura', 'GPE')]"
Güzel ürün çok memnunum,"[('Güzel', 'NORP')]"
Kesinlikle beğenmedim,[]
"hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek
yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum,","[('anlıyacağınız gömlek\n', 'PERSON'), ('ama ilk defa', 'PRODUCT')]"
"Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı","[('Beklediğimden', 'PERSON'), ('çalışması var', 'ORG'), ('onun', 'GPE'), ('dışında tecrübe', 'ORG')]"
"urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun","[('yerine', 'CARDINAL')]"
"ürün gayet güzel, fırçası tam istediğim gibi. bir sıkıntı yokta ürünü ambalajsız olarak göndermeleri oldukça ilginç. siteye olan güvenle ilgili sıkıntı yaratıyor. bu konuyla ilgili biraz daha dikkatli olunması gerekiyor bence.","[('gayet güzel', 'PERSON'), ('göndermeleri', 'PRODUCT'), ('siteye olan güvenle', 'PERSON')]"
"2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu daha ıyı olabilirdir.tavsiye olunur...","[('2400', 'CARDINAL'), ('koyunca', 'GPE'), ('ağzından dışarı atıyor dıkkat etmek', 'PERSON'), ('aksesuarları pek', 'PERSON'), ('sağlam değil', 'PERSON'), ('uzatma hortumu', 'PERSON')]"
"Umduğum gibi çıkmadı,reistansı kısa sürede bozuldu.",[]
"Ürünü alalı 2 yıl oldu birkaç deneyimden sonra yorum yapayım dedim.Ürün
sert hamurlarda zayıf kalıyor clipsli üst kapak çok zayıf ve hemen
kırılıyor .Dışı plastik olduğu için görüntüye aldanmayın sağlamlık hissi
bende oluşmadı.Az zorlamada sanki bozulakmış gibi ve motordan koku
geliyor .kısacası mutfak şefi için zayıf bir ürün zaten diğer hamurlar
mikxerlede oluyor.Daha çok verip daha sağlam bir ürün almadığıma
üzülmedim değil.","[('2', 'CARDINAL'), ('birkaç deneyimden', 'PERSON'), ('Ürün', 'PERSON'), ('zayıf kalıyor', 'PERSON'), ('kapak çok zayıf', 'PERSON'), ('hissi', 'ORG'), ('gibi', 'GPE'), ('motordan koku\ngeliyor', 'PERSON'), ('zayıf', 'CARDINAL'), ('almadığıma\nüzülmedim değil', 'PERSON')]"
HİZLİ KARGO GUVENİLİR SATİCİ TAVSİYE EDERİM,[]
Henüz kullanmadım ama paketleme gayet iyiydi. Tatilde eşarplarımı ütülemek için aldım memnun kalacağımı düşünüyorum.,"[('Henüz', 'PERSON'), ('ütülemek', 'TIME'), ('memnun', 'ORG')]"
Avantajlar : fiyat<br />Dezavantajlar : yok<br />ses kalitesi çok iyi.,"[('kalitesi çok', 'PERSON')]"
İyi değil pahalı,"[('İyi değil', 'PERSON')]"
"Ürün dün elime ulaştı, ürünün çekim gücü güzel, el süpürgesi olarak da kullanılabilmesi büyük bir avantaj, kullanırken keyif alacağınız hafif ve ergonomik bir ürün... tavsiye ederim...","[('ürünün çekim', 'PERSON'), ('olarak da kullanılabilmesi', 'PERSON'), ('keyif', 'PERSON')]"
"Bu aletle ilgili iyi bir tarafı var diyemeyeceğim ne yazık ki!1-Aşırı gürültülü eski teknoloji dizel motor gibi...2-Ürünü yapanlar hiç test etmediler galiba Türk milleti nasılsa anlamaz demiş olmalılar ki kapağa uyduruk bir silikon monte etmişler.Hazneye sadece 1/2 çay bardağı sıvı koyduğunuzda bile tezgahınızda batmadık yer kalmıyor.2-çok çabuk ısınıyor.4-Doğrama kabiliyeti rezalet.Neticede beş para etmez bir ürün,nasıl aldanıp ta aldım kendime çok kızıyorum....Bu ürünü beğenen varsa daha önce gerçek bir doğrayıcı kullanmamıştır,","[('eski teknoloji dizel motor', 'PERSON'), ('2', 'CARDINAL'), ('Türk milleti', 'PERSON'), ('ki kapağa', 'PERSON'), ('Hazneye', 'ORG'), ('1/2', 'CARDINAL'), ('sıvı koyduğunuzda bile', 'ORG'), ('kalmıyor.2-çok', 'PERSON'), ('Neticede beş para etmez', 'PERSON'), ('beğenen varsa daha', 'PERSON'), ('doğrayıcı kullanmamıştır', 'PERSON')]"
"Ürün, çalışan bayanlar için çok pratik.","[('çalışan bayanlar', 'ORG')]"
leomanya satıcısından aldığım ürünler 10 günde minik bi kolide geldi süreyi gözardı edersek benim hoşlanmadığım durum kolinin içindekilerin eşek kadar kolinin üzerine yapıştırılması işyerine söylediğim için siparişi bu durum rahatsız edici benim açımdan bu konuya satıcıların dikkat etmesi gerekiyor bence.,"[('leomanya satıcısından aldığım ürünler', 'PERSON'), ('10', 'CARDINAL'), ('günde minik', 'ORG'), ('edersek benim hoşlanmadığım', 'PERSON'), ('kolinin içindekilerin eşek', 'PERSON'), ('kadar kolinin', 'PERSON'), ('üzerine yapıştırılması işyerine söylediğim', 'ORG'), ('için', 'DATE'), ('gerekiyor bence', 'PERSON')]"
Güzel  ilgileniyorlar.,"[('Güzel', 'NORP')]"
Annem çok beğenmedi fırın kısmından memnun değil,"[('Annem çok beğenmedi fırın', 'PRODUCT'), ('kısmından', 'ORG'), ('değil', 'PERSON')]"
phone 6 s 32 gb. ürunü beğendim.Tavsiye ederim.,"[('6', 'CARDINAL'), ('32', 'CARDINAL')]"
ürünün haznesi 800w olanlara kıyasla haliyle küçük.biraz daha teferrruatlı birşey olsun diyorsan işini görmez.,"[('ürünün haznesi', 'PERSON'), ('800w', 'PRODUCT'), ('haliyle küçük.biraz', 'PERSON'), ('diyorsan işini görmez', 'ORG')]"
Beğenerek aldım ancak yerde durmaması kötü özellik. Bir de kontrol tuşları ve tüm beyni su tankının altında duruyor. Cihaz ayaktayken su doldur boşalt denemeleri yapıyorsanız sakın yerinden kıpırdamasın yoksa su mekanizmadan aşağı dökülüp beyin komut yerine gidiyor En Sevmediğim Yönü bu. Bunu kurnaz mühendisler bilerek yapmış. Suyun buhara dönüştüğü yerin altına bilerek komut mekanizması yapmışlar!,"[('yerde', 'PERSON'), ('beyni su tankının altında', 'PERSON'), ('denemeleri yapıyorsanız', 'PERSON'), ('sakın yerinden kıpırdamasın yoksa su mekanizmadan aşağı dökülüp', 'PERSON'), ('beyin komut', 'PERSON'), ('yerine', 'CARDINAL'), ('Bunu', 'PERSON'), ('Suyun buhara dönüştüğü yerin', 'PERSON')]"
Hem fiyat açısından trendyoldan daha uyguna aldım hem de harikalar yaratan bir ürüne sahip oldum,"[('Hem', 'NORP'), ('hem de', 'ORG')]"
Olumsuz yönleri: BİRAZ ÇALIŞTIRINCA MOTOR KOKU YAPIYOR,"[('Olumsuz', 'ORG'), ('BİRAZ ÇALIŞTIRINCA MOTOR KOKU YAPIYOR', 'ORG')]"
18.10.18 tarihinde sipariş verdim. 22.10.18 teslim aldım. Ürün özenle paketlenmiş.,"[('18.10.18', 'CARDINAL'), ('22.10.18', 'CARDINAL'), ('Ürün', 'PERSON')]"
İnternet sitenizden Philips televizyon aldım.Böyle bir yanlışlık nasıl yapılır bilmiyorum ama bana ÇİM biçme makinası göndermişsiniz.İlgili arkadaşlara teşekkürler....,"[('Böyle', 'PERSON'), ('ama bana ÇİM', 'ORG')]"
Fena değil. Fanı çalışmıyor. Yazıldığı gibi değil.,"[('Fanı', 'PERSON'), ('değil', 'PERSON')]"
"bu fıyata bu ürüne değmez. sakın aldanmayın.....buz kırcağı zaman sarsılıyor. sulu gıdalar örn: corba, krema, pankek harçı vs  kapağından dışarı sızıyor, her yeri batırıyor kendini batırdığı gıbı tezgahı da berbat ediyor. tek doğrama işini beceriyor ....... foto da guzel gorunuyor ama plastik.   Berbat.!!!","[('sakın aldanmayın', 'PERSON'), ('buz kırcağı zaman', 'PERSON'), ('kapağından', 'GPE'), ('kendini batırdığı', 'PERSON'), ('tezgahı da berbat', 'PERSON'), ('tek doğrama', 'ORG'), ('Berbat', 'PERSON')]"
"Ürünü çeyizim için aldım 1 günde elime ulaştı paketlemesi güzel. Denerken kapağı oturmuyormuş gibi oldu ama çevirmek gerekiyor şimdilik bir sorun yok, üretici firmaya teşekkürler.","[('1', 'CARDINAL'), ('Denerken', 'ORG'), ('gibi', 'GPE'), ('üretici firmaya', 'PERSON')]"
Touchpedi 3 metreden bile çalışmıyor verdiğim paraya yazik oldu. hızlı kargo ve paketlemesi sağlamdı,"[('Touchpedi 3', 'PERSON'), ('verdiğim paraya yazik', 'PERSON')]"
"indirimde almıştım,  ceyiz olarak, beğendim.",[]
Sakın almayın laptoptan daha güzel ses çıkıyor iade etmeye çalışıyorum edilmiyor bunlar resmen kandırıyorlar insanları. Ses ayarı var yazmışlar üründe ses tuşu falan da yok.,"[('Sakın', 'PERSON')]"
hepsi burada farki.urun zamaninda teslim...,"[('hepsi burada farki.urun', 'ORG'), ('zamaninda', 'PERSON')]"
"Izgaraları kesinlikle yapışma yapmıyor, kısa sürede ısıtıyor. Çok memnun kaldım.","[('yapışma yapmıyor', 'PERSON'), ('kısa sürede ısıtıyor', 'ORG'), ('Çok memnun', 'PERSON')]"
"ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım için iade
edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs
sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...","[('şekilde geldi', 'PERSON'), ('kargocuya zabıt', 'PERSON'), ('tuturmadıgım için iade', 'PERSON'), ('böyle', 'PERSON'), ('sadece ürünü korıyacak bişey', 'ORG'), ('kesinlikle', 'PERSON')]"
"kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri, fotoğraf çekebilecekleri, whatsapp'da yazışabilecekleri, candy crush oynayabilecekleri,  navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu, benim hanım bu konuda daha güvenilir"") bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor, arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin, parasının telefonu.","[('resimli cuma mesajları', 'PERSON'), ('gönderebilecekleri', 'LANGUAGE'), ('çekebilecekleri', 'GPE'), (""whatsapp'da"", 'GPE'), ('yazışabilecekleri', 'GPE'), ('olarak kullanabilecekleri', 'PERSON'), ('babamın', 'ORG'), ('götürüyor yahu', 'PERSON'), ('benim hanım', 'PERSON'), ('annem sürekli reklamlara tıkladığı', 'ORG'), ('arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor', 'ORG'), ('babam da', 'PERSON'), ('çok şey beklemeyin', 'PERSON')]"
"Biraz küçük ama işimizi görüyor, alınabilir","[('Biraz küçük', 'PERSON')]"
